text,label,psychological_trigger
Your HDFC account will be blocked in 30 minutes if you do not verify your Aadhaar details at secure-hdfc-login.in/verify now.,scam,Forced Urgency
"Immediate action required: your Paytm wallet has been temporarily suspended due to a failed NACH mandate, please call 1800-1234-567 to resolve within the next 10 minutes.",scam,Forced Urgency
Your ICICI credit card has been flagged for suspicious activity and will be cancelled in 15 minutes if you do not confirm your transaction history at icici-secure-verification.in.,scam,Forced Urgency
"Within the next 5 minutes, you must respond to this message with your UPI ID to avoid an INR 10,000 penalty for non-compliance with the latest RBI regulations, as per the email sent to your registered email address.",scam,Forced Urgency
"Your CRED account has been locked due to multiple failed login attempts, to regain access and avoid permanent account suspension, visit cred-secure-login.in and follow the instructions within the next 20 minutes.",scam,Forced Urgency
"GPay has initiated a refund of INR 50,000 to your bank account, however, this transaction will be cancelled if you do not confirm your PAN details at gpay-verification.in/validate within the next 12 minutes.",scam,Forced Urgency
"Axis Bank has detected unusual login activity on your account, to prevent irreversible account suspension, verify your account information at axis-secure-login.in within the next 25 minutes.",scam,Forced Urgency
"Please note that your Zepto account will be deactivated in 18 minutes if you do not update your KYC details by visiting zepto-kyc-update.in, this is a one-time mandatory requirement.",scam,Forced Urgency
"You have 22 minutes to settle the outstanding amount of INR 20,000 on your HDFC credit card, failure to do so will result in your account being reported to the credit bureau, please visit secure-hdfc-payment.in.",scam,Forced Urgency
"Kotak Mahindra Bank has sent you an ITR verification notice, you must respond to this notice and verify your income details at kotak-itr-verification.in within the next 8 minutes to avoid further action",scam,Forced Urgency
"Please note that as per the latest RBI guidelines, all HDFC employees are required to verify their account details by visiting secure-hdfc-login.in/verify to avoid any disruptions to their salary credits.",scam,Authority Impersonation
"The Income Tax Department has introduced a new mandate for all taxpayers to link their PAN with their UPI ID, kindly click on https://incometax-portal.in/link-pan to complete the process.",scam,Authority Impersonation
"As a valued employee of ICICI, you are requested to confirm your NACH mandate by contacting our dedicated helpline at 1800-ICICI-99 or by visiting our internal portal at icici-employee-portal.in/nach.",scam,Authority Impersonation
The CBI has launched an investigation into recent phishing attacks and requests all Axis Bank employees to report any suspicious activities to cbi-tip-offs.in/report.,scam,Authority Impersonation
"Dear PhonePe user, this is to inform you that your wallet has been temporarily locked due to a security update, please visit phonepe-security.in/unlock to reactivate your account.",scam,Authority Impersonation
"The NPCI has introduced a new UPI protocol, and all Paytm users are required to update their UPI PIN by visiting paytm-upi.in/update-pin to avoid any transaction disruptions.",scam,Authority Impersonation
HDFC employees are advised to review and update their employee records by visiting the internal portal at hdfc-employee-portal.in/update-records and following the instructions carefully.,scam,Authority Impersonation
"A new directive from the Finance Ministry requires all Kotak employees to undergo a mandatory cybersecurity awareness training, please visit kotak-employees.in/training to complete the program.",scam,Authority Impersonation
